vitalid,mean,median,std,iqr
BICARBONATE,25.69644312,25,5.034270661,7
CHLORIDE,104.1445613,104,6.322993743,8
SODIUM,138.852473,139,5.119333836,6
DiasBP,59.43149267,58,14.79405563,19
HeartRate,82.91701187,82,16.12680685,22
RespRate,19.69302652,19,5.462298525,7
SysBP,123.2790893,121,22.82148751,31
mingcs,13.6621763,15,2.335564079,1
age,64.95149518,66.67123288,17.04861116,24.66575342
weight,83.0612169,80,24.71410967,28
fluid_net_input_ml,907.4781187,632.9166656,1835.556564,2334.660033
chloride_input_meq,98.051208,43.12,144.157338,121.3277
